ID,Livestock_Type,Disease,Symptom_1,Cure_1,Symptom_2,Cure_2,Symptom_3,Cure_3,Symptom_4,Cure_4,Symptom_5,Cure_5,Symptom_6,Cure_6
1,Bison,Brucellosis,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
2,Camel,Johne’s Disease,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
3,Chicken,Anthrax,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
4,Turkey,Anthrax,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
5,Reindeer,Bovine Tuberculosis,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
6,Deer,Avian Influenza,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
7,Turkey,Bovine Tuberculosis,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
8,Chicken,Avian Influenza,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
9,Llama,Leptospirosis,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
10,Reindeer,Swine Fever,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
11,Chicken,Foot-and-Mouth Disease,Breathing Issues,Vaccination,Lesions,Antiviral Drugs,Fever,Rest,Loss of Coordination,Fluid Therapy,Swelling,Antibiotics,Nasal Discharge,Pain Relievers
12,Guinea Fowl,Blue Tongue,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
13,Llama,Blue Tongue,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
14,Pigeon,Swine Fever,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
15,Ostrich,Glanders,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
16,Llama,Foot-and-Mouth Disease,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
17,Pigeon,Bovine Viral Diarrhea,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
18,Emu,Bovine Viral Diarrhea,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
19,Quail,Newcastle Disease,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
20,Alpaca,Scrapie,Breathing Issues,Vaccination,Lesions,Antiviral Drugs,Fever,Rest,Loss of Coordination,Fluid Therapy,Swelling,Antibiotics,Nasal Discharge,Pain Relievers
21,Camel,Johne’s Disease,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
22,Donkey,Leptospirosis,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
23,Donkey,Bovine Viral Diarrhea,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
24,Goose,Newcastle Disease,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
25,Pigeon,Leptospirosis,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
26,Goose,Foot-and-Mouth Disease,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
27,Yak,Peste des Petits Ruminants,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
28,Chicken,Scrapie,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
29,Camel,Scrapie,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
30,Ostrich,Glanders,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
31,Reindeer,Johne’s Disease,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
32,Duck,Botulism,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
33,Rabbit,Leptospirosis,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
34,Ostrich,Botulism,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
35,Horse,Glanders,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
