Crop_Name,Crop_Type,Farming_Season,Farming_Month,Problem,Solution
Rice,Cereal,Kharif,June-October,Blast Disease,"Caused by *Magnaporthe oryzae*, affects leaves, nodes, and panicles, causing grayish spots."
Rice,Cereal,Kharif,June-October,Sheath Blight,"Caused by *Rhizoctonia solani*, appears as wate-oaked lesions on the sheath."
Rice,Cereal,Kharif,June-October,Bacterial Leaf Blight,"Caused by *Xanthomonas oryzae*, results in yellowing and wilting of leaves."
Rice,Cereal,Kharif,June-October,False Smut,"Caused by *Ustilaginoidea virens*, leads to fungal growth on rice grains."
Rice,Cereal,Kharif,June-October,Tungro Disease,"Caused by Rice Tungro Virus, transmitted by leafhoppers, stunts plant growth."
Rice,Cereal,Kharif,June-October,Brown Spot,"Caused by *Cochliobolus miyabeanus*, forms brown lesions on leaves and grains."
Rice,Cereal,Kharif,June-October,Bakanae Disease,"Caused by *Fusarium fujikuroi*, results in elongated, pal-reen seedlings."
Rice,Cereal,Kharif,June-October,Grassy Stunt Disease,"Caused by Rice Grassy Stunt Virus, leading to excessive tillering and stunted growth."
Wheat,Cereal,Rabi,November-April,Rust Disease,"Includes leaf rust, stem rust, and stripe rust, caused by *Puccinia* species, leading to pustules on leaves."
Wheat,Cereal,Rabi,November-April,Powdery Mildew,"Caused by *Blumeria graminis*, creates white powdery patches on leaves."
Wheat,Cereal,Rabi,November-April,Loose Smut,"Caused by *Ustilago tritici*, infects grains and replaces them with black spore masses."
Wheat,Cereal,Rabi,November-April,Karnal Bunt,"Caused by *Tilletia indica*, forms black powdery spores in kernels."
Wheat,Cereal,Rabi,November-April,Fusarium Head Blight,"Caused by *Fusarium graminearum*, results in shriveled, pinkish grains."
Wheat,Cereal,Rabi,November-April,Septoria Leaf Blotch,"Caused by *Zymoseptoria tritici*, leads to brown lesions with dark fruiting bodies."
Wheat,Cereal,Rabi,November-April,Tan Spot,"Caused by *Pyrenophora tritic-epentis*, creates necrotic spots on leaves."
Maize,Cereal,Kharif,June-September,Stem Borer,"Larvae of *Chilo partellus* bore into stems, weakening plants and reducing yield."
Maize,Cereal,Kharif,June-September,Downy Mildew,"Caused by *Peronosclerospora* species, forms yellowish streaks on leaves."
Maize,Cereal,Kharif,June-September,Maize Streak Virus,"Transmitted by leafhoppers, causes yello-reen streaking and stunted growth."
Maize,Cereal,Kharif,June-September,Common Rust,"Caused by *Puccinia sorghi*, leads to reddis-rown pustules on leaves."
Maize,Cereal,Kharif,June-September,Northern Corn Leaf Blight,"Caused by *Exserohilum turcicum*, produces long gra-reen lesions on leaves."
Maize,Cereal,Kharif,June-September,Southern Corn Leaf Blight,"Caused by *Bipolaris maydis*, results in elongated necrotic leaf lesions."
Maize,Cereal,Kharif,June-September,Maize Lethal Necrosis,"Caused by a combination of Maize Chlorotic Mottle Virus and other viruses, results in yellowing and drying of leaves."
Barley,Cereal,Rabi,November-April,Loose Smut,"Caused by *Ustilago nuda*, replaces healthy grains with black fungal spores."
Barley,Cereal,Rabi,November-April,Barley Yellow Dwarf,"Caused by *Barley Yellow Dwarf Virus (BYDV)*, leads to stunted growth and yellow leaves."
Barley,Cereal,Rabi,November-April,Net Blotch,"Caused by *Pyrenophora teres*, forms dark ne-ike lesions on leaves."
Barley,Cereal,Rabi,November-April,Spot Blotch,"Caused by *Cochliobolus sativus*, results in brown necrotic spots on leaves."
Barley,Cereal,Rabi,November-April,Scald,"Caused by *Rhynchosporium secalis*, produces wate-oaked lesions that later turn brown."
Millets,Cereal,Kharif,June-September,Downy Mildew,"Caused by *Sclerospora graminicola*, creates chlorotic streaks and affects panicle development."
Millets,Cereal,Kharif,June-September,Ergot Disease,"Caused by *Claviceps fusiformis*, results in fungal structures replacing grains."
Millets,Cereal,Kharif,June-September,Blast Disease,"Caused by *Pyricularia grisea*, affects leaves and grains, reducing yield."
Gram,Pulse,Rabi,October-March,Wilt Disease,"Use diseas-ree seeds, apply fungicides"
Lentils,Pulse,Rabi,October-March,Yellow Mosaic Virus,"Use viru-ree seeds, control whiteflies"
Moong,Pulse,Kharif,June-September,Blight Disease,"Use diseas-esistant seeds, apply coppe-ased sprays"
Urad,Pulse,Kharif,June-September,Leaf Spot,"Apply copper fungicide, maintain field sanitation"
Chickpea,Pulse,Rabi,October-March,Pod Borer,"Apply nee-ased insecticides, use resistant varieties"
Mustard,Oilseed,Rabi,October-March,Aphid Infestation,"Use neem oil, introduce aphid predators"
Groundnut,Oilseed,Kharif,June-September,Leaf Spot,"Apply copper fungicides, ensure proper irrigation"
Sunflower,Oilseed,Kharif & Rabi,June-September & October-March,Rust,"Apply sulfu-ased fungicides, improve ventilation"
Soybean,Oilseed,Kharif,June-September,Pod Shattering,"Harvest at optimal time, apply pod sealants"
Sesame,Oilseed,Kharif,June-September,Wilt Disease,"Use resistant varieties, treat with bi-ontrol agents"
Cotton,Fiber,Kharif,June-November,Bollworm,"Use Bt cotton, apply biological pesticides"
Jute,Fiber,Kharif,March-July,Stem Rot,"Improve drainage, use resistant varieties"
Sugarcane,Sugar,Annual,October-September,Red Rot,"Use resistant sugarcane varieties, remove affected plants"
Sugar beet,Sugar,Rabi,October-April,Leaf Scorch,"Apply diseas-esistant fertilizers, maintain field hygiene"
Tea,Beverage,Perennial,Throughout the year,Blister Blight,"Apply copper fungicides, use resistant tea varieties"
Coffee,Beverage,Perennial,Throughout the year,Leaf Rust,"Use fungicides, maintain proper spacing"
Cocoa,Beverage,Perennial,Throughout the year,Frost Damage,"Improve frost protection measures, use resistant varieties"
Turmeric,Spice,Kharif,June-October,Rhizome Rot,"Improve drainage, treat rhizomes before planting"
Black Pepper,Spice,Perennial,Throughout the year,Wilt Disease,"Use neem oil, apply potassiu-ased sprays"
Cardamom,Spice,Perennial,Throughout the year,Leaf Blight,"Use bi-ungicides, improve soil health"
Ginger,Spice,Kharif,June-October,Soft Rot,"Use wel-rained soil, treat with organic fungicides"
Clove,Spice,Perennial,Throughout the year,Stem Wilt,"Use resistant varieties, apply biocontrol agents"
Carrot,Biennial,Rabi,October-March,Nematode Infestation,"Use soil fumigation, rotate crops"
Onion,Biennial,Kharif & Rabi,June-September & October-March,Onion Smudge,"Improve drainage, use coppe-ased sprays"
Beetroot,Biennial,Rabi,October-March,Root Rot,"Use wel-rained soil, apply fungicide treatment"
Banana,Perennial,Annual,Throughout the year,Panama Disease,"Use diseas-ree banana plants, maintain field sanitation"
Coconut,Perennial,Annual,Throughout the year,Bud Rot,"Use proper irrigation, remove infected palms"
Lentils,Pulses/Legumes,Rabi,November-April,Wilt Disease,"Use diseas-esistant varieties, apply fungicide"
Chickpeas,Pulses/Legumes,Rabi,November-April,Root Rot,"Crop rotation, use wel-rained soil"
Soybeans,Pulses/Legumes,Kharif,June-September,Rust Disease,"Apply fungicide, plant resistant varieties"
